group1,group2,meandiff,p-adj,lower,upper,reject,Metrica,N
-O0,-O1,-0.0231,0.0,-0.0241,-0.0221,True,Tempo,256
-O0,-O2,-0.0373,0.0,-0.0383,-0.0363,True,Tempo,256
-O0,-O3,-0.0371,0.0,-0.0381,-0.0361,True,Tempo,256
-O0,-Ofast,-0.0371,0.0,-0.0381,-0.0361,True,Tempo,256
-O1,-O2,-0.0142,0.0,-0.0152,-0.0132,True,Tempo,256
-O1,-O3,-0.014,0.0,-0.015,-0.013,True,Tempo,256
-O1,-Ofast,-0.014,0.0,-0.015,-0.013,True,Tempo,256
-O2,-O3,0.0002,0.9857,-0.0008,0.0012,False,Tempo,256
-O2,-Ofast,0.0002,0.9856,-0.0008,0.0012,False,Tempo,256
-O3,-Ofast,0.0,1.0,-0.001,0.001,False,Tempo,256
-O0,-O1,0.2262,0.0,0.2063,0.2462,True,Tempo,512
-O0,-O2,-0.1717,0.0,-0.1917,-0.1518,True,Tempo,512
-O0,-O3,-0.1756,0.0,-0.1955,-0.1556,True,Tempo,512
-O0,-Ofast,-0.1728,0.0,-0.1927,-0.1528,True,Tempo,512
-O1,-O2,-0.3979,0.0,-0.4179,-0.378,True,Tempo,512
-O1,-O3,-0.4018,0.0,-0.4218,-0.3819,True,Tempo,512
-O1,-Ofast,-0.399,0.0,-0.419,-0.3791,True,Tempo,512
-O2,-O3,-0.0039,0.9834,-0.0238,0.0161,False,Tempo,512
-O2,-Ofast,-0.0011,0.9999,-0.021,0.0189,False,Tempo,512
-O3,-Ofast,0.0028,0.9952,-0.0172,0.0227,False,Tempo,512
-O0,-O1,2.097,0.0,1.9586,2.2355,True,Tempo,1024
-O0,-O2,-1.3331,0.0,-1.4716,-1.1946,True,Tempo,1024
-O0,-O3,-1.4237,0.0,-1.5622,-1.2852,True,Tempo,1024
-O0,-Ofast,-1.4269,0.0,-1.5654,-1.2884,True,Tempo,1024
-O1,-O2,-3.4302,0.0,-3.5687,-3.2917,True,Tempo,1024
-O1,-O3,-3.5208,0.0,-3.6592,-3.3823,True,Tempo,1024
-O1,-Ofast,-3.524,0.0,-3.6625,-3.3855,True,Tempo,1024
-O2,-O3,-0.0906,0.3735,-0.2291,0.0479,False,Tempo,1024
-O2,-Ofast,-0.0938,0.3376,-0.2323,0.0447,False,Tempo,1024
-O3,-Ofast,-0.0032,1.0,-0.1417,0.1353,False,Tempo,1024
-O0,-O1,83.62,0.0,82.5502,84.6897,True,Tempo,2048
-O0,-O2,-6.0078,0.0,-7.0775,-4.9381,True,Tempo,2048
-O0,-O3,-6.2445,0.0,-7.3142,-5.1748,True,Tempo,2048
-O0,-Ofast,-6.3024,0.0,-7.3721,-5.2327,True,Tempo,2048
-O1,-O2,-89.6277,0.0,-90.6975,-88.558,True,Tempo,2048
-O1,-O3,-89.8645,0.0,-90.9342,-88.7947,True,Tempo,2048
-O1,-Ofast,-89.9224,0.0,-90.9921,-88.8527,True,Tempo,2048
-O2,-O3,-0.2367,0.9696,-1.3064,0.833,False,Tempo,2048
-O2,-Ofast,-0.2946,0.9343,-1.3644,0.7751,False,Tempo,2048
-O3,-Ofast,-0.0579,0.9999,-1.1276,1.0118,False,Tempo,2048
-O0,-O1,-102968014.5667,0.0,-109871402.881,-96064626.2523,True,Cycles,256
-O0,-O2,-171808211.4,0.0,-178711599.7143,-164904823.0857,True,Cycles,256
-O0,-O3,-169512092.3,0.0,-176415480.6143,-162608703.9857,True,Cycles,256
-O0,-Ofast,-168308666.3333,0.0,-175212054.6477,-161405278.019,True,Cycles,256
-O1,-O2,-68840196.8333,0.0,-75743585.1477,-61936808.519,True,Cycles,256
-O1,-O3,-66544077.7333,0.0,-73447466.0477,-59640689.419,True,Cycles,256
-O1,-Ofast,-65340651.7667,0.0,-72244040.081,-58437263.4523,True,Cycles,256
-O2,-O3,2296119.1,0.8893,-4607269.2143,9199507.4143,False,Cycles,256
-O2,-Ofast,3499545.0667,0.6284,-3403843.2477,10402933.381,False,Cycles,256
-O3,-Ofast,1203425.9667,0.9889,-5699962.3477,8106814.281,False,Cycles,256
-O0,-O1,1126249198.7333,0.0,1053605263.5043,1198893133.9624,True,Cycles,512
