Flag,N,Rep,Tempo,RSS,Text,Cycles,Instructions,CacheReferences,CacheMisses,Branches,BranchMisses,L1Loads,L1LoadMisses,L2Access,L2Misses,L3Access,L3Misses
-O0,256,1,0.052796,18756,2832,237582381,439538890,40363401,16190146,21006366,202038,129467893,19025190,19061091,564193,NA,NA
-O0,256,2,0.049825,18684,2832,229942157,459651583,41570263,16796382,21554232,189164,125269163,18014349,18240972,342164,NA,NA
-O0,256,3,0.047489,18904,2832,219420572,463219837,44288946,16961425,21665314,104233,125175439,18336732,18342580,451432,NA,NA
-O0,256,4,0.047442,18904,2832,217705803,463625869,44697625,17079568,21711532,270083,124005094,17992648,18218906,472666,NA,NA
-O0,256,5,0.047170,18916,2832,216985439,463470751,45261305,16909904,21672306,99825,124984447,18293601,18270633,362309,NA,NA
-O0,256,6,0.048024,18940,2832,222542651,464426926,44154844,16588357,21709077,102139,124256299,17917400,18205089,686959,NA,NA
-O0,256,7,0.048684,18780,2832,224926187,468430495,44297886,17030367,21721665,127848,123169965,17643466,17932265,296426,NA,NA
-O0,256,8,0.049866,18628,2832,231766552,462636457,42744283,16992853,21634410,218780,124539838,17894054,17960982,336935,NA,NA
-O0,256,9,0.048755,18544,2832,228878715,461680329,44021999,16945491,21655742,279981,124594585,17870556,17963173,248614,NA,NA
-O0,256,10,0.048784,18640,2832,226752323,464605997,42515643,17034061,21708249,267510,123883109,17833141,18032407,395321,NA,NA
-O0,256,11,0.047784,18824,2832,219686494,459691928,45913856,17179835,21502694,106490,125877392,18388086,18389975,744504,NA,NA
-O0,256,12,0.050279,18940,2832,226638188,461742016,45066443,17815588,21507432,262889,124598237,18015764,17697570,447964,NA,NA
-O0,256,13,0.049981,18888,2832,225217052,460277036,42629875,16819560,21436153,105057,125311154,18083433,18392474,406121,NA,NA
-O0,256,14,0.048768,18856,2832,224789109,468232362,48245589,18622403,21806521,123563,123936856,18173703,18102970,710849,NA,NA
-O0,256,15,0.049883,18568,2832,221013402,461504041,48644581,18024398,21668048,148246,125527527,18007356,18278725,737990,NA,NA
-O0,256,16,0.048000,18404,2832,219458466,464388675,48962181,18206800,21815120,125139,124917878,18143088,18169837,588104,NA,NA
-O0,256,17,0.049848,18904,2832,229851328,465021687,43417604,17366386,21670937,155326,124274384,17998906,18211829,552880,NA,NA
-O0,256,18,0.048413,18816,2832,223892477,461094755,46354820,17411093,21655901,279397,125345461,18072978,18377816,627142,NA,NA
-O0,256,19,0.049853,18740,2832,232371541,467257922,47791105,18071317,21351870,218541,123590649,18060673,18288216,788029,NA,NA
-O0,256,20,0.051440,18800,2832,237295201,474548478,47970142,18211535,21379887,159355,121616602,17661002,17647569,687331,NA,NA
-O0,256,21,0.061899,18924,2832,261164868,465140774,40221629,16036076,22184202,314536,124240558,18190733,18309383,757060,NA,NA
-O0,256,22,0.052241,18936,2832,232672357,460688190,43005178,17234004,21646390,272520,125256815,18231215,18124291,570427,NA,NA
-O0,256,23,0.053611,19060,2832,245240517,467508375,44474254,17726862,21653298,116257,123787074,17622707,17451468,509787,NA,NA
-O0,256,24,0.050092,18816,2832,235870383,455656917,45502995,17444739,21100567,220916,126348195,18480136,18643408,744358,NA,NA
-O0,256,25,0.051810,18876,2832,238098673,460504099,45598154,17417526,21418235,187755,125026736,18017601,18177163,541389,NA,NA
-O0,256,26,0.047704,18936,2832,217272321,462198952,47729364,17832962,21515661,106698,125502231,18368468,18408716,3135258,NA,NA
-O0,256,27,0.048993,18872,2832,226776078,465401005,44084539,17012770,21668918,139991,123724435,17832515,18073389,402199,NA,NA
-O0,256,28,0.050740,19072,2832,230336086,465380264,44102409,17188534,21624153,177506,124396021,17824292,17836734,445755,NA,NA
-O0,256,29,0.049732,18908,2832,230104517,462996326,42653654,17047848,21677273,110964,124529251,17916975,18095812,358927,NA,NA
-O0,256,30,0.047993,19020,2832,218871070,459708056,45520969,17208790,21594965,172536,125662517,18062189,18362062,537244,NA,NA
-O1,256,1,0.026905,18804,2632,120511798,131755449,37037702,11478687,21072391,114608,38088156,19122501,18885883,1897165,NA,NA
-O1,256,2,0.027160,18972,2632,121681521,131091525,38464530,10915760,20675908,79010,38347927,19059016,19037910,2282671,NA,NA
-O1,256,3,0.028780,18728,2632,136743181,139326232,41967702,11454528,21175325,77479,36965311,18280619,18014491,2509770,NA,NA
-O1,256,4,0.028434,18504,2632,135382086,140064103,39660087,12327984,21515396,218278,36709877,18666852,18402023,2743555,NA,NA
-O1,256,5,0.028319,19028,2632,128003104,133571551,37750067,11227871,20969300,133254,37933828,19336335,18990624,2397864,NA,NA
-O1,256,6,0.027786,18912,2632,132387408,138526534,38625464,11205717,21478024,231759,37010186,18827159,18486440,2103698,NA,NA
-O1,256,7,0.027794,18732,2632,128162726,133484556,39657751,11288322,20972482,87022,37823122,18789179,18658157,1895656,NA,NA
-O1,256,8,0.027051,18928,2632,126983994,131308227,35964639,10440367,20978481,137572,38279798,19385876,18980712,1894039,NA,NA
-O1,256,9,0.027259,18876,2632,125962486,135028259,37129661,10764013,21064632,135537,37699818,19162990,18764270,2048971,NA,NA
-O1,256,10,0.023441,18816,2632,105803270,120785760,34497025,9324392,20394702,148289,39139687,19469232,19429922,2064792,NA,NA
-O1,256,11,0.026546,18600,2632,126887080,134007689,34510066,12194988,21021201,194445,37822915,19370480,18920971,3232300,NA,NA
-O1,256,12,0.027098,19060,2632,129360470,130112627,35425384,10419625,20618924,138077,38428526,19635039,19441322,1735233,NA,NA
-O1,256,13,0.026849,18940,2632,128787215,138864148,41682651,11264449,20941779,79607,37268586,18542828,18487627,2214875,NA,NA
-O1,256,14,0.027052,18892,2632,129025933,138277933,40972885,10844156,21136170,90486,37296414,18472667,18363376,1766175,NA,NA
-O1,256,15,0.026206,18820,2632,119884424,131404157,38264271,9879591,20806187,104526,38217080,19020588,19009359,1722562,NA,NA
-O1,256,16,0.026378,19072,2632,122607231,135122078,38910516,10110315,21003226,102761,37588445,18694214,18615518,1681832,NA,NA
-O1,256,17,0.027215,18948,2632,122275901,130901979,36861440,10866182,21050053,116114,38404090,19326973,18914183,2032071,NA,NA
-O1,256,18,0.025290,18672,2632,120258641,133999339,37520235,11284026,21141753,124941,37829308,18822501,18601602,2724733,NA,NA
-O1,256,19,0.025970,19072,2632,117675290,132601005,37215777,11630745,21130367,113054,38010107,18949249,18716474,2413135,NA,NA
-O1,256,20,0.026688,18784,2632,128178937,141090425,41883722,12563716,20886597,79690,36828495,18112351,18049519,2699454,NA,NA
-O1,256,21,0.028457,18908,2632,134670285,137033735,40677139,12359769,20943113,78848,37262975,18689015,18636393,2173024,NA,NA
-O1,256,22,0.027231,18660,2632,129927805,138169271,39892682,11063275,21134856,93270,37210379,18513912,18498422,2149721,NA,NA
-O1,256,23,0.026743,19156,2632,126873365,140512174,39976124,10296570,21181114,105862,36830526,18406537,18345675,1552230,NA,NA
-O1,256,24,0.026167,18924,2632,125430221,139687253,42084900,10435276,20823159,77810,36872880,18294169,18268303,1515909,NA,NA
-O1,256,25,0.026455,18980,2632,127340163,136574226,41404534,10633340,20798281,75851,37363430,18532210,18421958,1842282,NA,NA
-O1,256,26,0.026201,18708,2632,124350700,137440060,40670423,11027701,20695236,77524,37216641,18585804,18478626,2315924,NA,NA
-O1,256,27,0.025495,18824,2632,115189804,133034994,39995102,10778437,20668018,78013,37920811,18773908,18590683,1917504,NA,NA
-O1,256,28,0.025474,18924,2632,121984254,137866420,40718137,10564938,20654263,80521,37339630,18654035,18656577,2100973,NA,NA
-O1,256,29,0.027212,18988,2632,128156585,138094021,39157939,10322598,21296745,111561,37251394,18715088,18457348,1716668,NA,NA
-O1,256,30,0.027053,18768,2632,123596593,133908354,38950508,11470736,20762326,79762,37747570,18913027,18889073,2561505,NA,NA
-O2,256,1,0.012298,18864,2633,33867778,88194243,20354608,6729786,11638819,144975,20353911,9871989,9022922,NA,NA,NA
-O2,256,2,0.012178,18872,2633,63868203,90930875,22141670,5994261,11640924,59656,20025798,9093844,NA,NA,NA,NA
-O2,256,3,0.012657,18776,2633,48098496,86154277,20925126,6863421,11637981,75494,20847357,10004434,8299039,NA,NA,NA
-O2,256,4,0.012493,18928,2633,65961355,89948014,21961131,6620119,11652064,60408,20334991,9506324,NA,NA,NA,NA
-O2,256,5,0.012390,18560,2633,62498243,89948500,22017725,6111525,11669016,60113,20435206,9520416,NA,NA,NA,NA
-O2,256,6,0.012836,18720,2633,66717208,91533034,21562871,7127608,11662746,56844,20175606,9686948,7480395,NA,NA,NA
-O2,256,7,0.012271,18884,2633,36580390,82576316,19947936,6301313,11651283,108421,21159522,10328805,9496839,NA,NA,NA
-O2,256,8,0.012363,18716,2633,55120784,78796104,19209093,6413481,11648338,123238,21309199,10372326,9630415,NA,NA,NA
-O2,256,9,0.012891,18912,2633,64830694,81504084,19319989,6699184,11663448,86004,21449678,10320242,8890778,NA,NA,NA
-O2,256,10,0.013227,18768,2633,63577092,68271503,17399716,6643553,11715304,144442,21925492,10731653,10425213,1489908,NA,NA
